id,filename,title,date,year,featured,order,main,mainLabel,medium,mediumLabel,tags,aspectRatio,width,height,src,summary,description,materials,dimensions,location,body
midwaylifesjourney-2024-9705,midwaylifesjourney,人生旅途中,2024-01-01,2024,false,0,flat,平面,illustration,插畫,,0.7737,928,1200,midwaylifesjourney-2024-9705.webp,,,油畫顏料、木板,32x41cm((6F),,
mi-casa-su-casa-2024-0029,mi-casa-su-casa,mi casa su casa,2024-01-01,2024,false,0,object,立體,sculpture,雕塑,,2:3,800,1200,mi-casa-su-casa-2024-0029.webp,,,免燒陶土、壓克力顏料,L10xW14xH29,私人收藏,"逐步建構了精神小屋，那是一個純淨但需要細心照顧的地方。

安靜的時刻，偶爾聽見雨滴沖刷屋簷、偶爾收到雜訊。
想像理想在眼前注成一道光球，再把他收到胸前的抽屜裡，將它釀成你的閃亮訊號。"
me-time-2024-2319,me-time,Me Time,2024-01-01,2024,false,0,flat,平面,illustration,插畫,,0.8717,1046,1200,me-time-2024-2319.webp,,,壓克力、木板,44x36,,"切勿打擾！
我保留下的珍貴時光

是為了要好好的⋯⋯"
mannerhappiness-2024-7560,mannerhappiness,快樂的方式,2024-01-01,2024,false,0,flat,平面,illustration,插畫,,0.7670,920,1200,mannerhappiness-2024-7560.webp,,,油畫顏料、木板,32x41cm((6F),,
inner-heart-2024-3543,inner-heart,Inner heart,2024-01-01,2024,false,0,object,立體,sculpture,雕塑,,0.7213,866,1200,inner-heart-2024-3543.webp,,,免燒陶土、壓克力顏料,L9xW10xH25.5,私人收藏,"心的深處有什麼呢？

你有仔細挖掘過嗎？

比內心深處更深的地方
是什麼樣子的呢？"
demon-chu-2024-5812,demon-chu,小惡魔球,2024-01-01,2024,false,0,flat,平面,illustration,插畫,,1:1,1200,1200,demon-chu-2024-5812.webp,,,壓克力、畫布,Φ30,,"閃過調皮的念頭，
小小惡作劇、微微的搗蛋，
他們覺得這才是有點個性。"
angel-chu-2024-2959,angel-chu,小天使球,2024-01-01,2024,false,0,flat,平面,illustration,插畫,,1:1,1200,1200,angel-chu-2024-2959.webp,,,壓克力、畫布,Φ30,,"冒出來的小善良體貼，
滿滿的共感和同理、
輕輕一點感受就能觸發。"
1decade-cake-2024-0331,1decade-cake,10週年蛋糕,2024-01-01,2024,false,0,object,立體,sculpture,雕塑,,0.7147,858,1200,1decade-cake-2024-0331.webp,,,免燒陶土、超輕土、壓克力顏料,L21xW18xH20,私人收藏,"請不要唱生日歌，不算生日吧！

但是我們還是必須慶祝
慶祝方式也由我們定義。

因為週年紀念是我們獨有的節日♥"
suni-icecream-shop-2026-0232,suni-icecream-shop,鼠尼冰淇淋店,2026-03-19,2026,false,0,object,立體,3d,3D建模,blender,4:5,960,1200,suni-icecream-shop-2026-0232.webp,,,,,,"鼠尼冰淇淋店 開張！
口味很多，獨家研發，主廚特別愛吃！
"
catgrass-2019-5223,catgrass,貓草專賣攤,2019-01-28,2019,false,0,flat,平面,illustration,插畫,,0.7512,901,1200,catgrass-2019-5223.webp,,,數位水彩,,,"保證新鮮
保證ㄎㄧㄤ
貓貓不愛保證退錢"
the-silent-goddess-2025-4396,the-silent-goddess,寂靜女神,2025-01-01,2025,false,0,object,立體,sculpture,雕塑,,4:5,960,1200,the-silent-goddess-2025-4396.webp,,,石粉黏土,L10xW10xH22.5,,"靈感源於台灣的年度盛事「媽祖進香」。雖然我並不特別隸屬於某個信仰派系，卻被這個傳承百年的宗教儀式深深感動。在時間的洪流中，這份信仰早已在台灣土地上生根茁壯，而我想用自己的風格記錄下那份感動和鼓舞的瞬間。
我創造的女神雕像戴著全罩式耳機，俏皮地凝視著一旁，彷彿正在思索著什麼。她的胸口刻著階梯與拱門，象徵求知的渴望與時間的流逝。對我而言，真正的信仰不在於外在的儀式或喧囂，而是一個向內探索的寧靜過程。
這件作品試圖捕捉信仰的本質：在集體的熱鬧中找到個人的寧靜，在傳統的莊嚴中保持現代的思辨，在向外的膜拜中轉向內在的省思。"
the-flower-house-2025-5933,the-flower-house,溫室,2025-01-01,2025,false,0,object,立體,sculpture,雕塑,,,0,0,,,,黏土、樹脂,,,Utoyia
no-rush-2025-9751,no-rush,夢裡沒有人催促，我躲在這,2025-01-01,2025,false,0,flat,平面,painting,繪畫,,1.0076,1200,1191,no-rush-2025-9751.webp,,,壓克力、畫布,64X64,,"躲在這裡，有些話不用說就能懂。
藏在此處，有些感受不用開口就能歌唱。
我喜歡在這裡的樣子，即便有些刺眼、有些滾燙。

-

這張畫在說關於夢想：
每一道閃光，都是身邊那些人的「夢想」在發亮。當我們看到別人盡情閃耀時，是要躲起來？還是急著想展現自己？或是刺眼到裝作沒看見呢？
發現自己現在都不是這些情緒了。我躲在這些閃耀之中，即使刺目，卻可以靜靜待著，看別人發光就為他鼓掌，順便琢磨他是怎麼亮起來的。我不急著從裡頭尋求誰的目光，只是在這光芒裡，試著發出屬於自己的不一樣的光。
也許最溫柔的姿態，就是在萬千星火中不爭不搶，只是安靜地燃著自己的那一束微光。不為誰而亮，也不因誰而暗，就這樣在光的森林裡，做一個默默的觀者，偶爾也成為被凝視的那道光。"
island-2025-4197,island,發現了內在群島,2025-01-01,2025,false,0,flat,平面,painting,繪畫,繪畫,0.6933,832,1200,island-2025-4197.webp,,,壓克力、畫布,97*130,,"土質、風景、誰住在上面
窗戶、密道、又有什麼秘密？

這裡很值得探索，而我已經慢慢蓋得越來越美，
但只提供給靈魂契合的旅客登島遊玩。"
inner-room-2025-4043,inner-room,心裡的房間,2025-01-01,2025,false,0,flat,平面,painting,繪畫,,0.7325,879,1200,inner-room-2025-4043.webp,,,壓克力、畫布,97*131,,"這幅畫的靈感來自一種「內在解剖式的觀看」。把自己想像成一個拆開來的玩具屋，用我最愛的玩具為靈感，每個房間代表一種情緒狀態，有的角色藏起來偷看、有的在角落努力點燃什麼、有的在邊緣跳舞、有的則整個泡在情緒的泳池裡。這些狀態看起來都可愛、柔軟，像花、像閃光球球，但其實都指向一些更深的內部動力。
畫面上方像是一個機器或控制板，我一直在想──人是不是應該常常回頭看看自己核心那台正在運作的機器？上面顯示的，是「LOVE」嗎？還是其實一直在閃爍著別的訊號，只是我們沒注意到？
這不是一張負面的畫，我反而是想用一種甜甜的語言談那些複雜又難以命名的情緒。"
flu-2025-8945,flu,內在燃料,2025-01-01,2025,false,0,flat,平面,painting,繪畫,,0.7833,940,1200,flu-2025-8945.webp,,,壓克力、畫布,60X80X1.5,,"在觀察當代人類的生存狀態時，我發現一個深刻矛盾：大腦進化速度遠未跟上現代生活的複雜性，使我們缺乏順暢的應對機制，這種失衡最明顯體現在情緒層面。
透過研究，我重新定義情緒的本質，認為最純粹的情緒並非傳統的喜怒哀樂，而是喜、悲、怒、厭、懼、驚六種狀態。這些情緒如雙面刃，既可能成為推動前進的動力燃料，也可能轉化為毀滅性能量，更可能成為滋養內在精神花園的養分。
我用視覺轉譯的方式，將那些從未真正正視的「情緒」透過畫筆轉化為可見形象，讓色彩與線條成為情感語言。這不僅是對個人內在世界的探索，更是對時代精神狀態的觀察與回應。希望透過作品邀請觀者重新審視與情緒的關係，在快速變遷的時代中找到與內在世界和諧共處的可能。"
castle-and-the-person-2025-7625,castle-and-the-person,城堡與長髮人,2025-01-01,2025,false,0,object,立體,sculpture,雕塑,,2:3,800,1200,castle-and-the-person-2025-7625.webp,,,石粉黏土,L11xW9.5xH29,,
car-trip-2025-2631,car-trip,遊車河,2025-01-01,2025,false,0,object,立體,sculpture,雕塑,,0.8580,1030,1200,car-trip-2025-2631.webp,,,石粉黏土、樹脂,(L)14x(W)8.5x(H)9.5,,
